text,outcome
"",0
"build secure attachments with one and then more familiar educators",1
"use effective routines to help make predicted transitions smoothly",1
"sense and respond to a feeling of belonging",1
"communicate their needs for comfort and assistance",1
"establish and maintain respectful trusting relationships with other children and educators",1
"openly express their feelings and ideas in their interactions with others",1
"respond to ideas and suggestions from others",1
"initiate interactions and conversations with trusted educators",1
"confidently explore and engage with social and physical environments through relationships and play",1
"initiate and join in play",1
"explore aspects of identity through role play",1
"demonstrate increasing awareness of the needs and rights of others",1
"be open to new challenges and discoveries",1
"increasingly cooperate and work collaboratively with others",1
"take considered risk in their decision-making and cope with the unexpected",1
"recognise their individual achievements and the achievements of others",1
"demonstrate an increasing capacity for self-regulation",1
"approach new safe situations with confidence",1
"begin to initiate negotiating and sharing behaviours",1
"persist when faced with challenges and when first attempts are not successful",1
"feel recognised and respected for who they are",1
"explore different identities and points of view in dramatic play",1
"share aspects of their culture with the other children and educators",1
"use their home language to construct meaning",1
"develop strong foundations in both the culture and language of their family and of the broader community without compromising their cultural identities",1
"develop their social and cultural heritage through engagement with Elders and community members",1
"reach out and communicate for comfort assistance and companionship",1
"celebrate and share their contributions and achievements with others",1
"show interest in other children and being part of a group",1
"engage in and contribute to shared play experiences",1
"express a wide range of emotions thoughts and views constructively",1
"empathise with and express concern for others",1
"display awareness of and respect for others perspectives",1
"reflect on their actions and consider consequences for others",1
"begin to recognise that they have a right to belong to many communities",2
"cooperate with others and negotiate roles and relationships in play episodes and group experiences",2
"take action to assist other children to participate in social groups",2
"broaden their understanding of the world in which they live",2
"express an opinion in matters that affect them",2
"build on their own social experiences to explore other ways of being",2
"participate in reciprocal relationships",2
"gradually learn to read the behaviours of others and respond appropriately",2
"understand different ways of contributing through play and projects",2
"demonstrate a sense of belonging and comfort in their environments",2
"are playful and respond positively to others reaching out for company and friendship",2
"contribute to fair decision making about matters that affect them",2
"begin to show concern for others",2
"explore the diversity of culture heritage background and tradition and that diversity presents opportunities for choices and new understandings",2
"become aware of connections similarities and differences between people",2
"listen to others ideas and respect different ways of being and doing",2
"practise inclusive ways of achieving coexistence",2
"notice and react in positive ways to similarities and differences among people",2
"discover and explore some connections amongst people",2
"become aware of ways in which people are included or excluded from physical and social environments",2
"develop the ability to recognise unfairness and bias and the capacity to act with compassion and kindness",2
"empowered to make choices and problem solve to meet their needs in particular contexts",2
"begin to think critically about fair and unfair behaviour",2
"begin to understand and evaluate ways in which texts construct identities and create stereotypes",2
"use play to investigate project and explore new ideas",2
"participate with others to solve problems and contribute to group outcomes",2
"demonstrate an increasing knowledge of and respect for natural and constructed environments",2
"explore infer predict and hypothesise in order to develop an increased understanding of the interdependence between land people plants and animals",2
"show growing appreciation and care for natural and constructed environments",2
"explore relationships with other living and non-living things and observe notice and respond to change",2
"develop an awareness of the impact of human activity on environments and the interdependence of living things",2
"demonstrate trust and confidence",3
"remain accessible to others at times of distress confusion and frustration",3
"share humour happiness and satisfaction",3
"seek out and accept new challenges make new discoveries and celebrate their own efforts and achievements and those of others",3
"increasingly cooperate and work collaboratively with others",3
"enjoy moments of solitude",3
"recognise their individual achievement",3
"make choices accept challenges take considered risks manage change and cope with frustrations and the unexpected",3
"show an increasing capacity to understand self-regulate and manage their emotions in ways that reflect the feelings and needs of others",3
"experience and share personal successes in learning and initiate opportunities for new learning in their home languages or Standard Australian English",3
"acknowledge and accept affirmation",3
"assert their capabilities and independence while demonstrating increasing awareness of the needs and rights of others",3
"recognise the contributions they make to shared projects and experiences",3
"recognise and communicate their bodily needs thirst hunger rest comfort physical activity",3
"are happy healthy safe and connected to others",3
"engage in increasingly complex sensory motor skills and movement patterns",3
"combine gross and fine motor movement and balance to achieve increasingly complex patterns of activity including dance creative movement and drama",3
"use their sensory capabilities and dispositions with increasing integration skill and purpose to explore and respond to their world",3
"demonstrate spatial awareness and orient themselves moving around and through their environments confidently and safely",3
"manipulate equipment and manage tools with increasing competence and skill",3
"respond through movement to traditional and contemporary music dance and storytelling",3
"show an increasing awareness of healthy lifestyles and good nutrition",3
"show increasing independence and competence in personal hygiene care and safety for themselves and others",3
"show enthusiasm for participating in physical play and negotiate play spaces to ensure the safety and wellbeing of themselves and others",3
"express wonder and interest in their environments",4
"are curious and enthusiastic participants in their learning",4
"use play to investigate imagine and explore ideas",4
